UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
Q16774	1432.7123	828.3636	3872.1567	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16774 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16836	15711.432	6387.9736	34539.742	24185.383	17336.705	27959.04	16831.695	29582.875	16258.971	NA	NA	NA
Q16836 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16851	26978.787	12620.504	47983.055	92270.734	62742.61	85044.484	26904.184	30501.219	28303.773	49808.4	36253.44	49072.246
Q16851 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q16891	27283.947	10284.047	43807.344	61950.086	46941.527	69810	41015.926	53846.54	31464.28	109786.375	71933.29	95235.47
Q16891 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q1KMD3	8370.583	3793.207	18555.676	13197.145	13048.265	33267.02	NA	NA	NA	7779.1543	5110.877	7290.0293
Q1KMD3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q2M2I8	3776.1287	1980.2473	6897.664	NA	NA	NA	NA	NA	NA	3085.4116	2093.584	2537.787
Q2M2I8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q32MK0	1071.2666	2455.2922	9511.142	NA	NA	NA	NA	NA	NA	8296.021	4691.0806	9671.225
Q32MK0 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q3KP66	5721.086	6458.052	7397.988	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3KP66 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q52LJ0	2520.385	738.5158	7335.33	5593.451	4820.7095	7022.9355	NA	NA	NA	NA	NA	NA
Q52LJ0 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q53GG5	55808.07	16700.34	62206.74	12908.253	9097.671	15234.983	52628.066	59267.664	88088.44	90268.016	54101.727	88216.86
Q53GG5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q5BKZ1	3691.986	224.98334	973.0876	NA	NA	NA	NA	NA	NA	3324.406	2274.226	3057.195
Q5BKZ1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q5JTV8	3441.1997	1117.9855	3102.2812	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5JTV8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q5TH69	7209.6533	4606.9824	4517.2383	NA	NA	NA	11022.655	12039.628	10430.386	NA	NA	NA
Q5TH69 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q5VST9	3696.8257	1982.7573	5898.66	7899.6934	5561.699	8182.7876	6173.7095	7452.8257	7693.7515	3551.9082	2948.5166	3776.9019
Q5VST9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q5VWP3	10028.832	5831.6514	14984.308	7176.5693	6669.8403	7455.713	21859.172	22801.777	19258.84	9757.787	10144.378	10467.513
Q5VWP3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6IAA8	2953.0747	1451.3386	3826.772	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6IAA8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6KB66	410.3151	505.02106	823.93677	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6KB66 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6NZI2	27869.926	13155.925	42584.547	105888.625	83101.12	133457.2	23174.918	23975.416	31638.445	120411.95	63464.734	87266.875
Q6NZI2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6P587	14048.924	7526.5054	20825.695	NA	NA	NA	NA	NA	NA	22443.975	15971.713	22716.758
Q6P587 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6P5Z2	6148.737	3526.4417	5206.191	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6P5Z2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6YN16	11454.749	7794.3066	18753.996	NA	NA	NA	NA	NA	NA	20339.46	14510.933	19810.363
Q6YN16 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q6ZRY4	705.73236	987.0875	4223.0117	2097.1824	2269.856	3572.328	NA	NA	NA	NA	NA	NA
Q6ZRY4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q702N8	19579.662	11357.091	31093.504	28917.691	19165.06	26192.613	33735.953	36395.61	33408.4	29371.707	22999.357	26237.463
Q702N8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q71U36	35185.73	21673.883	90177.3	78251.67	89288.266	181664.27	58587.453	58847.645	42525.32	16589.137	2926.101	10500.315
Q71U36 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q7KZF4	7362.996	1692.3181	14130.615	6386.119	6315.7734	9087.159	7116.25	8158.6577	6964.462	9839.162	8418.037	8270.045
Q7KZF4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z4W1	271.36368	113.67831	912.3631	400.7967	610.7797	1069.9142	NA	NA	NA	NA	NA	NA
Q7Z4W1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q86SE5	9271.43	4785.7456	9806.622	13616.887	8393.611	12555.519	9139.248	8418.831	12275.607	13460.596	8486.438	12178.024
Q86SE5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q86TX2	4735.742	4185.953	10340.326	20437.42	13269.4795	21125.49	13944.825	15752.857	29581.559	10286.58	9089.426	10712.943
Q86TX2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q86UP2	5188.738	2590.6147	8078.801	9507.685	9354.913	12382.218	5017.795	5757.992	3416.849	7019.8555	6508.173	7229.791
Q86UP2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q86Y39	3614.3909	1338.8391	6710.3315	8190.5283	7760.6533	11561.835	NA	NA	NA	NA	NA	NA
Q86Y39 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q86YZ3	1355.9575	NA	NA	1618.4296	2250.8672	2550.0256	NA	NA	NA	NA	NA	NA
Q86YZ3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8IWX7	17693.775	8258.259	25741.28	33612.26	16925.262	27042.312	20830.195	26960.768	17418.055	40083.76	26229.48	37577.914
Q8IWX7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8N1G4	350.4818	2881.5093	8813.223	NA	NA	NA	NA	NA	NA	3177.3767	2276.0308	2535.1658
Q8N1G4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NB12	6793.2764	2961.8145	14017.885	12632.939	3886.6863	9496.42	7288.5347	9075.284	4472.1816	NA	NA	NA
Q8NB12 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NBS9	28037.705	6999.963	31349.33	15361.473	12027.742	19552.78	9311.211	8865.64	27066.457	9165.576	5480.415	8908.801
Q8NBS9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NC51	7946.885	1499.8777	3825.1665	11431.497	9320.299	15539.161	10049.617	9018.314	12565.316	14627.245	12679.547	14737.422
Q8NC51 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NCW5	9134.025	3274.3467	11839.584	16599.508	11803.369	19448.326	NA	NA	NA	NA	NA	NA
Q8NCW5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NDY3	7317.4355	1644.9563	13152.403	5942.284	4644.504	5779.9136	4371.171	6439.1836	4781.82	1543.151	1729.1521	2242.3345
Q8NDY3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NE79	1118.823	1224.2483	4656.501	2915.8672	4395.004	8320.368	NA	NA	NA	7919.297	4410.7036	6740.3457
Q8NE79 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8NHP8	3183.7227	1564.4546	4902.6455	7925.8594	6436.8384	9475.469	NA	NA	NA	NA	NA	NA
Q8NHP8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8TCU6	2630.3574	283.97147	1145.3041	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TCU6 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8WUM4	7372.699	4334.463	12918.264	12931.645	12200.154	15337.693	14878.077	15503.392	18446.975	7080.04	7191.0586	6800.535
Q8WUM4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8WVM7	277.19482	165.38611	330.16882	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WVM7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8WVV9	602.3238	62.94081	206.24951	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WVV9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8WXF1	NA	97.634766	1288.5581	455.0089	756.2411	731.8273	NA	NA	NA	NA	NA	NA
Q8WXF1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q8WZ42	19014.426	13954.015	24453.209	40207.93	23369.158	38476.125	39233.92	40271.164	34052.12	215063	158307.61	256184.64
Q8WZ42 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92499	6609.4697	2548.4954	13321.824	8545.904	9823.773	20696.799	4701.9307	5405.3237	10731.069	15211.386	8582.62	14280.24
Q92499 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92522	3694.5718	1976.0728	3960.7302	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92522 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92688	88.33951	5.832277	1262.3491	797.7168	1355.6561	1580.6842	4809.052	6398.6074	2474.9226	NA	NA	NA
Q92688 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92743	17470.254	11406.431	39486.605	21075.947	20456.682	36352.17	25329.725	25943.625	18794.71	25758.852	18625.463	23158.697
Q92743 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92747	2280.3225	776.5505	7651.7773	4544.0244	4438.62	5944.323	NA	NA	NA	3596.1746	3305.5913	4034.7158
Q92747 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92841	7557.6973	3502.174	15233.943	14570.852	11405.119	15499.492	12839.678	15459.725	10665.975	31205.432	24458.492	29497.87
Q92841 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92879	1959.5708	286.3902	3435.6187	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92879 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92896	247687.05	82048.836	63837.105	176293	66695.85	76446.04	245692.64	207089.52	176493.11	143921.55	115968.61	122933.79
Q92896 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92901	122.57666	275.30334	965.70605	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92901 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92922	1824.3542	178.50684	1400.2582	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92922 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92945	9999.875	6255.6104	18146.217	14118.409	13327.444	19149.756	13981.701	13335.617	13622.51	13956.006	11866.045	14070.97
Q92945 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q92973	2455.8489	875.89813	3584.2256	NA	NA	NA	4727.768	6416.1074	2403.6865	4038.482	2621.2546	3771.5337
Q92973 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q969G5	6123.788	3210.52	12337.41	10402.115	9310.529	13004.471	7670.6924	9177.367	8722.74	10314.425	6726.158	9078.253
Q969G5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96AB3	18214.1	6795.582	25275.621	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96AB3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96AC1	6832.422	3302.9775	9416.101	8717.725	14345.689	33122.562	1112.8748	1871.4971	3816.3901	12807.353	11309.285	11372.401
Q96AC1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96AE4	12297.959	8289.154	19546.031	21358.367	15911.326	22687.293	13290.286	14441.711	18326.65	19397.475	14565.777	18014.92
Q96AE4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96AY3	12694.477	4509.412	23901.629	25693.672	18588.22	36646.348	10906.513	14850.48	11531.667	15429.471	8868.615	13232.002
Q96AY3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96B54	1664.8479	1050.9	2337.5615	2909.948	1392.8508	3135.371	NA	NA	NA	NA	NA	NA
Q96B54 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96BM9	2996.5903	839.49475	6506.6006	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96BM9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96CM8	5649.0356	2411.6719	7927.398	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96CM8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96CN7	12257.893	6444.1274	21069.742	24981.39	19216.848	34730.81	21290.844	28936.113	21799.055	NA	NA	NA
Q96CN7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96EP5	3697.1963	4462.8877	5777.7344	16845.23	14992.607	21389.678	NA	NA	NA	NA	NA	NA
Q96EP5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96FW1	26451.777	7289.9346	26353.705	16530.773	16829.883	27487.764	NA	NA	NA	NA	NA	NA
Q96FW1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96HC4	53403.08	29635.02	70954.66	92889.83	60693.562	113822.11	67352.83	83727.29	82010.44	99440.4	61839.945	94312.63
Q96HC4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96I99	1524.1754	1675.5879	5250.9097	NA	NA	NA	NA	NA	NA	3622.602	2472.1138	3637.6333
Q96I99 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96KP4	2517.5488	554.648	3219.4321	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96KP4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96PK6	5968.8643	6362.318	17274.943	4734.095	3912.5728	5313.5195	NA	NA	NA	13335.814	11695.619	14689.2295
Q96PK6 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96QK1	3740.3162	835.49255	10485.105	8256.307	7728.762	12121.529	4920.0264	7471.5063	4952.0317	7765.2524	5358.8994	8980.192
Q96QK1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q96S97	7058.294	3213.9316	8534.94	NA	NA	NA	3608.7961	2661.2236	5553.202	NA	NA	NA
Q96S97 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99436	842.5011	969.1223	4446.139	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99436 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99460	5454.8755	2674.2507	15229.046	11294.275	10235.634	13868.922	15403.25	16979.287	11689.546	10020.042	5557.5723	9571.762
Q99460 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99497	60435.742	26899.096	76975.93	110195.95	71825.086	100321.76	58104.117	73605.72	73285.69	87092.375	68472.3	78246.86
Q99497 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99541	461.32925	139.39822	2343.7964	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99541 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99584	9875.4375	711.77936	15228.322	18196.652	14854.156	18567.457	NA	NA	NA	NA	NA	NA
Q99584 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99623	10200.388	8556.715	22300.137	29284.52	22671.16	42196.38	35466.848	36591.496	37394.844	60675.28	31214.863	51774.777
Q99623 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99627	3011.5889	669.83746	5437.1216	5635.664	3042.5176	6128.8643	NA	NA	NA	NA	NA	NA
Q99627 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99714	27725.852	11569.583	40293.14	25968.256	19858.469	29539.727	48761.152	56210.312	61364.867	47950.14	21800.328	37054.727
Q99714 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99733	9741.395	5278.961	17513.127	14296.226	11211.277	14417.188	5758.247	5638.516	6672.2837	NA	NA	NA
Q99733 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99798	76900.5	43562.93	101712.27	160967.22	97568.79	120763.67	122709.125	130470.016	77975.68	99759.27	61895.777	88711.516
Q99798 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99829	1306.7104	936.8942	2871.471	3547.713	3217.3516	4418.6714	2505.0288	2631.7192	1936.2865	NA	NA	NA
Q99829 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99832	4882.577	2900.5557	9453.578	11785.74	8583.501	12672.705	6144.3213	7732.5547	6404.7563	9008.12	8040.2646	9306.518
Q99832 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q99959	14413.366	9285.784	18865.027	17158.379	11386.084	14378.203	6122.871	7193.003	9127.66	93617.22	67819.445	109520.42
Q99959 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BQE3	26093.52	4903.7837	27154.02	13805.283	9194.0625	23713.002	NA	NA	NA	13934.98	6533.5635	12561.708
Q9BQE3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BR76	657.9725	24.446074	1334.9384	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BR76 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BRA2	17866.957	5792.097	18702.105	45717.324	33840.816	57595.156	NA	NA	NA	11529.351	10544.646	11682.841
Q9BRA2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BS26	12319.225	3515.4941	13363.826	20791.398	15903.416	27746.824	5206.5796	6040.8076	4204.7764	15698.428	11359.868	13294.035
Q9BS26 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BT78	1408.6786	1003.0957	3329.473	NA	NA	NA	4958.6475	5624.2915	4594.911	NA	NA	NA
Q9BT78 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BUF5	14439.222	5908.793	22922.008	32957.82	27306.7	44356.668	30561.217	28234.076	37424.434	13521.161	8110.746	10088.459
Q9BUF5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BUJ2	1425.4432	1292.2054	4613.623	NA	NA	NA	2454.183	3239.834	2328.953	4906.293	3170.7158	4639.8545
Q9BUJ2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BY67	1010.82764	638.9672	1759.1362	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BY67 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9BZL4	1385.5647	529.6508	1924.4432	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BZL4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9H0U4	1127.91	528.63873	1352.7346	2205.4124	1425.9666	2207.9614	2846.342	5784.7354	3743.6418	7576.7993	6232.85	7353.1606
Q9H0U4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9H223	3755.725	1553.1344	9097.407	7660.475	3917.5562	7508.0806	8556.902	9381.6	8086.6514	NA	NA	NA
Q9H223 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9H2U2	2244.4438	1036.0702	3205.123	6577.1455	5978.427	8959.6	3951.9717	4935.027	6710.7983	3871.9268	2855.7168	3685.4465
Q9H2U2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9H3G5	23814.94	10582.944	30252.816	30570.871	24732.613	43054.676	28231.465	27511.26	27932.152	33376.453	27685.508	30892.97
Q9H3G5 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9H4M9	2946.2695	1162.8624	4382.3623	2133.6987	1642.1971	3643.462	NA	NA	NA	2393.4504	1333.6006	2602.0242
Q9H4M9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9H987	5272.6104	3282.7969	11896.224	10838.424	7982.582	14937.759	17061.793	24101.555	29086.69	10093.643	8247.979	11852.723
Q9H987 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9HB07	15857.767	8478.349	30329.014	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HB07 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NP97	7406.5674	4203.867	14736.631	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NP97 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPC6	9201.1	6220.705	16240.078	14039.212	13702.192	21102.637	8747.555	10571.396	11161.336	15715.656	11364.744	15929.76
Q9NPC6 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPH2	4141.569	2245.445	7077.1963	NA	NA	NA	NA	NA	NA	9022.245	5707.7363	7985.0283
Q9NPH2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQC3	18260.166	12048.646	17883.969	28578.941	21398.406	29449.986	16990.01	17996.303	10357.795	50910.406	35238.316	51175.613
Q9NQC3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NR45	459.31662	1126.4604	12998.378	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NR45 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NSD9	2116.2844	1254.9136	4014.0776	7809.4365	6300.865	8293.766	4829.9053	5163.8623	5589.7817	7676.6416	4949.238	7604.045
Q9NSD9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NVI7	257.1833	0.38575938	918.1112	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NVI7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NX40	1896.4623	457.66595	2633.2678	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NX40 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NX63	9790.701	7841.2974	19352.422	16702.715	15213.1875	17998.467	29376.348	29613.129	22087.465	18961.438	19307.766	19655.543
Q9NX63 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NYF8	697.5033	349.82147	896.15674	1554.0267	1086.0403	1786.5062	NA	NA	NA	1051.1571	739.62506	2149.586
Q9NYF8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NYU2	3693.5444	774.1825	5439.209	7886.9766	8736.385	13108.881	NA	NA	NA	NA	NA	NA
Q9NYU2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZ45	13725.399	976.9624	12709.92	11450.931	10512.171	12108.414	3746.812	5386.837	8197.139	10227.615	10661.578	12297.76
Q9NZ45 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZA1	1534.3729	193.6002	3711.2605	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZA1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZI8	9108.433	3910.1157	14416.783	30157.047	22461.12	37248.9	12552.074	14578.895	15664.692	34474.523	25090.7	34288.5
Q9NZI8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZN4	4834.331	2440.7979	9170.864	12581.226	10877.001	11952.569	2360.6455	2920.391	3094.5083	2154.3257	1095.548	1750.6848
Q9NZN4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9P0J0	10584.311	3699.6174	17687.236	9277.309	6839.067	9496.781	NA	NA	NA	13914.015	11464.68	18509.158
Q9P0J0 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9P0K7	1889.2318	5517.326	2996.119	NA	NA	NA	NA	NA	NA	6836.587	5084.9395	5423.0913
Q9P0K7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9P0L0	2615.4146	1190.099	4230.32	3818.0452	3062.5818	5037.095	NA	NA	NA	NA	NA	NA
Q9P0L0 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9P0M6	4018.607	2225.606	11992.091	10431.186	8781.5625	11891.124	3350.6313	4356.628	1340.6653	11260.988	7677.6323	10614.603
Q9P0M6 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2R7	11538.151	7453.4053	20945.516	20505.158	13387.275	19906.172	12644.836	18584.67	16657.82	36215.633	26002.717	34391.246
Q9P2R7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBQ0	1171.5691	770.09973	2168.9524	2404.251	2101.7217	3314.1707	NA	NA	NA	1636.2009	1567.8896	1708.2083
Q9UBQ0 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBQ7	4326.088	3642.1685	8801.33	3887.2402	3699.025	3924.9854	NA	NA	NA	17657.922	18532.875	21035.96
Q9UBQ7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBY9	80774.36	26663.21	71451.99	154957.06	120062.53	178332.03	69794.83	89186.99	92188.33	125097.81	72419.32	128449.56
Q9UBY9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHD8	12580.113	3495.0054	22222.473	15663.493	14705.053	20374.139	19811.057	18810.596	15524.949	19529.684	17567.463	15122.965
Q9UHD8 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHG3	9640.703	3871.689	21837.37	11200.865	10993.886	17125.023	10092.412	8829.233	7671.137	10962.99	8162.6836	12356.532
Q9UHG3 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHP9	29501.371	12209.976	20524.229	NA	NA	NA	5336.3965	5417.657	4667.92	NA	NA	NA
Q9UHP9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHQ9	740.8738	304.25024	2035.7488	4709.6885	2772.1328	5252.884	NA	NA	NA	5147.4316	3119.734	5482.5522
Q9UHQ9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UII2	17856.2	10411.353	25987.035	25737.05	14026.444	27936.867	24908.662	26735.326	21030.586	23633.416	21492.098	25259.225
Q9UII2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UIJ7	4715.097	2611.2542	8911.351	12739.09	11197.514	20649.758	10299.262	11642.459	9099.243	4221.6904	5322.63	4552.739
Q9UIJ7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UJU6	2755.6426	836.8613	8367.816	10565.535	9833.983	16957.672	2556.3352	2707.3662	3359.7766	NA	NA	NA
Q9UJU6 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UJZ1	10345.247	160.27213	13080.503	7958.6987	8560.498	14169.103	13124.271	19220.924	10720.641	11997.615	8015.489	9195.059
Q9UJZ1 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKM9	1318.6368	1173.9867	3748.8967	1364.593	852.74176	1220.4135	6969.789	7059.0244	6253.398	NA	NA	NA
Q9UKM9 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKU7	682.7705	921.3484	4535.923	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKU7 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKX2	2756.524	1673.22	4264.161	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKX2 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULV4	10012.182	3785.5806	18686.633	8837.158	5604.711	8706.635	3360.454	2909.5508	1647.3446	2164.3022	1947.3052	2280.431
Q9ULV4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UMS4	6937.007	1401.1655	9336.428	695.24603	4573.519	6011.8457	1071.5448	1399.5557	2324.3274	NA	NA	NA
Q9UMS4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UN36	7545.913	2908.7368	10345.187	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UN36 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
Q9UNM6	2195.808	530.7312	3198.4712	NA	NA	NA	NA	NA	NA	2533.5986	1425.4503	2041.7076
